"CustomerID","Recency","Frequency","Monetary","R_Seq","F_Seq","M_Seq","RFM_Score_Seq","Segment_Seq","R_Ind","F_Ind","M_Ind","RFM_Score_Ind","Segment_Ind"
"12523",154,1,10,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12524",48,3,147.6,4,4,5,445,"Champions",4,5,5,455,"Champions"
"12534",16,1,40.5,5,1,4,514,"Potential Customers",5,1,4,514,"Potential Customers"
"12540",23,6,171.81,5,5,4,554,"Champions",5,5,5,555,"Champions"
"12545",145,1,71.4,2,1,5,215,"Lost Customers",2,1,5,215,"Lost Customers"
"12548",52,1,28,4,1,4,414,"Potential Customers",4,1,3,413,"Potential Customers"
"12553",40,2,54.21,4,3,4,434,"Loyal Customers",4,4,4,444,"Champions"
"12556",37,1,8.8,4,1,2,412,"Potential Customers",4,1,1,411,"Potential Customers"
"12560",29,1,50.1,4,1,5,415,"Potential Customers",4,1,4,414,"Potential Customers"
"12561",189,1,23.6,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12562",12,2,113.4,5,3,5,535,"Loyal Customers",5,4,5,545,"Champions"
"12567",70,2,34.2,3,3,4,334,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12569",125,1,17.88,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"12576",35,1,12.5,4,1,2,412,"Potential Customers",4,1,2,412,"Potential Customers"
"12583",86,1,15,3,1,2,312,"Potential Customers",3,1,2,312,"Potential Customers"
"12584",71,2,47.4,3,3,4,334,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12585",120,1,14.85,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"12590",97,1,69.6,2,1,5,215,"Lost Customers",2,1,5,215,"Lost Customers"
"12593",15,1,16.5,5,1,2,512,"Potential Customers",5,1,2,512,"Potential Customers"
"12594",7,3,173.1,5,4,5,545,"Champions",5,5,5,555,"Champions"
"12598",106,1,50.2,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12604",147,1,28.8,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12609",205,1,20.4,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"12613",83,2,95.4,3,3,5,335,"Loyal Customers",3,4,5,345,"Loyal Customers"
"12615",54,1,5.04,4,1,1,411,"Potential Customers",4,1,1,411,"Potential Customers"
"12616",184,1,10.2,1,1,1,111,"Lost Customers",1,1,2,112,"Lost Customers"
"12620",90,1,9.96,3,1,1,311,"Potential Customers",3,1,1,311,"Potential Customers"
"12621",97,6,384.05,2,5,5,255,"Potential Customers",2,5,5,255,"Potential Customers"
"12624",63,1,15.9,3,1,3,313,"Potential Customers",3,1,2,312,"Potential Customers"
"12625",206,1,33.9,1,1,4,114,"Lost Customers",1,1,4,114,"Lost Customers"
"12626",27,3,47.92,4,4,3,443,"Loyal Customers",4,5,4,454,"Champions"
"12635",40,1,5.04,4,1,1,411,"Potential Customers",4,1,1,411,"Potential Customers"
"12637",149,2,23.65,1,5,4,154,"Potential Customers",1,4,3,143,"Potential Customers"
"12639",124,1,30,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"12644",15,1,6.64,5,1,1,511,"Potential Customers",5,1,1,511,"Potential Customers"
"12645",105,1,50.8,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12647",85,2,109.5,3,4,5,345,"Loyal Customers",3,4,5,345,"Loyal Customers"
"12652",218,1,23.35,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12654",182,1,8.5,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12656",119,1,17,2,1,3,213,"Lost Customers",2,1,2,212,"Lost Customers"
"12662",29,1,16.6,4,1,3,413,"Potential Customers",4,1,2,412,"Potential Customers"
"12664",209,1,244.08,1,1,5,115,"Lost Customers",1,1,5,115,"Lost Customers"
"12668",145,2,77.28,2,4,5,245,"Potential Customers",2,4,5,245,"Potential Customers"
"12669",36,1,72,4,1,5,415,"Potential Customers",4,1,5,415,"Potential Customers"
"12670",118,1,54,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12673",213,1,5.45,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12674",93,1,89.7,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12678",73,2,292.8,3,4,5,345,"Loyal Customers",3,4,5,345,"Loyal Customers"
"12681",96,3,125.3,3,5,4,354,"Loyal Customers",3,5,5,355,"Loyal Customers"
"12682",44,3,183.8,4,4,5,445,"Champions",4,5,5,455,"Champions"
"12683",97,3,71.96,2,5,4,254,"Potential Customers",2,5,5,255,"Potential Customers"
"12693",13,1,6.64,5,1,1,511,"Potential Customers",5,1,1,511,"Potential Customers"
"12700",42,1,5.04,4,1,1,411,"Potential Customers",4,1,1,411,"Potential Customers"
"12704",13,1,17.85,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"12707",178,1,68.7,1,1,5,115,"Lost Customers",1,1,5,115,"Lost Customers"
"12709",76,2,54.23,3,4,4,344,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12712",68,3,112.3,3,5,4,354,"Loyal Customers",3,5,5,355,"Loyal Customers"
"12714",65,3,225.8,3,5,5,355,"Loyal Customers",3,5,5,355,"Loyal Customers"
"12716",19,1,17.7,5,1,3,513,"Potential Customers",5,1,2,512,"Potential Customers"
"12720",36,3,66.4,4,4,4,444,"Champions",4,5,5,455,"Champions"
"12721",132,1,37.75,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12726",70,1,65.16,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12727",167,1,48.6,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"12731",61,1,54.84,3,1,5,315,"Potential Customers",3,1,4,314,"Potential Customers"
"12743",20,2,12.2,5,3,1,531,"Loyal Customers",5,4,2,542,"Loyal Customers"
"12744",30,3,222.9,4,4,5,445,"Champions",4,5,5,455,"Champions"
"12747",84,1,27.04,3,1,4,314,"Potential Customers",3,1,3,313,"Potential Customers"
"12748",14,19,90.35,5,5,3,553,"Loyal Customers",5,5,5,555,"Champions"
"12749",16,2,194.91,5,3,5,535,"Loyal Customers",5,4,5,545,"Champions"
"12753",21,2,87.84,5,3,4,534,"Loyal Customers",5,4,5,545,"Champions"
"12754",195,1,0.29,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12757",71,1,16.5,3,1,3,313,"Potential Customers",3,1,2,312,"Potential Customers"
"12758",2,2,48,5,3,3,533,"Loyal Customers",5,4,4,544,"Champions"
"12759",57,2,57.1,4,3,4,434,"Loyal Customers",4,4,4,444,"Champions"
"12763",24,1,87,5,1,5,515,"Potential Customers",5,1,5,515,"Potential Customers"
"12764",203,1,47.4,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"12766",126,2,43.4,2,4,5,245,"Potential Customers",2,4,4,244,"Potential Customers"
"12769",124,1,61.2,2,1,5,215,"Lost Customers",2,1,5,215,"Lost Customers"
"12778",199,1,30,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12779",84,2,29.7,3,4,2,342,"Loyal Customers",3,4,3,343,"Loyal Customers"
"12781",171,1,30,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12782",35,1,34.8,4,1,4,414,"Potential Customers",4,1,4,414,"Potential Customers"
"12787",78,1,17,3,1,3,313,"Potential Customers",3,1,2,312,"Potential Customers"
"12792",142,1,56,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12798",56,1,515.52,4,1,5,415,"Potential Customers",4,1,5,415,"Potential Customers"
"12802",72,1,12.6,3,1,2,312,"Potential Customers",3,1,2,312,"Potential Customers"
"12811",171,1,14.75,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"12816",62,1,80,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12820",213,1,15,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"12821",100,1,10.2,2,1,1,211,"Lost Customers",2,1,2,212,"Lost Customers"
"12826",203,2,29.56,1,5,4,154,"Potential Customers",1,4,3,143,"Potential Customers"
"12830",20,1,122.4,5,1,5,515,"Potential Customers",5,1,5,515,"Potential Customers"
"12831",148,1,30.6,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"12836",23,3,96.59,5,4,4,544,"Champions",5,5,5,555,"Champions"
"12839",19,2,47,5,3,3,533,"Loyal Customers",5,4,4,544,"Champions"
"12840",68,2,51.4,3,4,4,344,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12841",108,4,43.37,2,5,3,253,"Potential Customers",2,5,4,254,"Potential Customers"
"12843",63,3,68.35,3,5,4,354,"Loyal Customers",3,5,5,355,"Loyal Customers"
"12844",16,1,1.65,5,1,1,511,"Potential Customers",5,1,1,511,"Potential Customers"
"12849",154,1,16.84,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"12853",20,4,166.7,5,5,4,554,"Champions",5,5,5,555,"Champions"
"12854",127,2,34.75,2,4,4,244,"Potential Customers",2,4,4,244,"Potential Customers"
"12857",189,1,37.65,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"12864",24,1,119.52,5,1,5,515,"Potential Customers",5,1,5,515,"Potential Customers"
"12865",9,1,55.7,5,1,5,515,"Potential Customers",5,1,4,514,"Potential Customers"
"12867",51,3,54.17,4,4,4,444,"Champions",4,5,4,454,"Champions"
"12868",104,2,25.3,2,4,4,244,"Potential Customers",2,4,3,243,"Potential Customers"
"12876",82,1,7.8,3,1,1,311,"Potential Customers",3,1,1,311,"Potential Customers"
"12877",10,2,29.07,5,3,2,532,"Loyal Customers",5,4,3,543,"Loyal Customers"
"12878",122,1,49,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"12885",9,1,13.2,5,1,2,512,"Potential Customers",5,1,2,512,"Potential Customers"
"12901",29,2,83.46,4,3,5,435,"Loyal Customers",4,4,5,445,"Champions"
"12909",87,2,36.1,3,4,3,343,"Loyal Customers",3,4,4,344,"Loyal Customers"
"12910",20,2,46,5,3,3,533,"Loyal Customers",5,4,4,544,"Champions"
"12916",24,3,97.6,5,4,5,545,"Champions",5,5,5,555,"Champions"
"12921",16,8,231.05,5,5,4,554,"Champions",5,5,5,555,"Champions"
"12928",127,1,10.4,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"12931",89,1,288,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"12933",57,1,7.95,4,1,2,412,"Potential Customers",4,1,1,411,"Potential Customers"
"12935",89,1,48.6,3,1,4,314,"Potential Customers",3,1,4,314,"Potential Customers"
"12942",17,1,3.25,5,1,1,511,"Potential Customers",5,1,1,511,"Potential Customers"
"12947",29,2,47.55,4,3,4,434,"Loyal Customers",4,4,4,444,"Champions"
"12948",150,1,17,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"12951",206,1,34,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"12955",105,1,19.8,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"12956",193,1,2.95,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12957",72,1,36.9,3,1,4,314,"Potential Customers",3,1,4,314,"Potential Customers"
"12971",21,2,78.6,5,3,4,534,"Loyal Customers",5,4,5,545,"Champions"
"12982",128,1,15,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"12987",83,1,25,3,1,3,313,"Potential Customers",3,1,3,313,"Potential Customers"
"12988",179,1,8.5,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"12994",6,1,19.8,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"12997",122,2,41.9,2,4,5,245,"Potential Customers",2,4,4,244,"Potential Customers"
"13001",103,1,27.45,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13004",100,3,59.95,2,5,4,254,"Potential Customers",2,5,4,254,"Potential Customers"
"13008",210,1,16.5,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13013",9,1,17.7,5,1,3,513,"Potential Customers",5,1,2,512,"Potential Customers"
"13015",83,2,31.85,3,4,2,342,"Loyal Customers",3,4,3,343,"Loyal Customers"
"13018",8,7,116.85,5,5,3,553,"Loyal Customers",5,5,5,555,"Champions"
"13021",149,1,35.4,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"13023",15,1,45,5,1,5,515,"Potential Customers",5,1,4,514,"Potential Customers"
"13026",161,1,20.4,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"13035",146,1,35.4,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"13043",159,1,17.7,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"13044",178,1,15.6,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13047",59,2,34,3,4,3,343,"Loyal Customers",3,4,4,344,"Loyal Customers"
"13050",71,1,13.35,3,1,2,312,"Potential Customers",3,1,2,312,"Potential Customers"
"13052",98,1,23.85,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13055",99,1,16.5,2,1,3,213,"Lost Customers",2,1,2,212,"Lost Customers"
"13060",139,1,15.9,2,1,3,213,"Lost Customers",2,1,2,212,"Lost Customers"
"13064",38,1,65.2,4,1,5,415,"Potential Customers",4,1,5,415,"Potential Customers"
"13069",101,3,47,2,5,3,253,"Potential Customers",2,5,4,254,"Potential Customers"
"13077",177,1,25.65,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"13078",26,4,133.1,5,5,3,553,"Loyal Customers",5,5,5,555,"Champions"
"13081",29,3,56.78,4,4,4,444,"Champions",4,5,4,454,"Champions"
"13082",43,1,30,4,1,4,414,"Potential Customers",4,1,3,413,"Potential Customers"
"13089",2,15,502.16,5,5,5,555,"Champions",5,5,5,555,"Champions"
"13090",61,2,31.95,3,4,2,342,"Loyal Customers",3,4,3,343,"Loyal Customers"
"13097",59,3,48.58,3,5,3,353,"Loyal Customers",3,5,4,354,"Loyal Customers"
"13098",13,6,246.64,5,5,4,554,"Champions",5,5,5,555,"Champions"
"13102",19,6,134.52,5,5,3,553,"Loyal Customers",5,5,5,555,"Champions"
"13110",143,2,9.65,2,4,2,242,"Potential Customers",2,4,1,241,"Potential Customers"
"13113",87,1,207.5,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"13115",70,1,27.9,3,1,4,314,"Potential Customers",3,1,3,313,"Potential Customers"
"13116",24,1,17.85,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"13117",103,1,1.92,2,1,1,211,"Lost Customers",2,1,1,211,"Lost Customers"
"13118",94,3,45.29,3,5,3,353,"Loyal Customers",3,5,4,354,"Loyal Customers"
"13121",155,1,5.2,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"13122",126,1,17.7,2,1,3,213,"Lost Customers",2,1,2,212,"Lost Customers"
"13124",138,1,29.7,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13134",126,1,17.7,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"13136",28,1,34,4,1,4,414,"Potential Customers",4,1,4,414,"Potential Customers"
"13137",24,2,28.95,5,3,1,531,"Loyal Customers",5,4,3,543,"Loyal Customers"
"13139",101,1,30.6,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13141",100,3,68.3,2,5,4,254,"Potential Customers",2,5,5,255,"Potential Customers"
"13148",19,5,56.04,5,5,2,552,"Loyal Customers",5,5,4,554,"Champions"
"13151",182,1,24.95,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"13158",41,1,16.5,4,1,3,413,"Potential Customers",4,1,2,412,"Potential Customers"
"13162",119,1,23.28,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13166",169,1,11.7,1,1,1,111,"Lost Customers",1,1,2,112,"Lost Customers"
"13167",29,1,13.9,4,1,2,412,"Potential Customers",4,1,2,412,"Potential Customers"
"13168",205,1,1.45,1,1,1,111,"Lost Customers",1,1,1,111,"Lost Customers"
"13178",100,1,33.1,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"13186",14,1,38.65,5,1,4,514,"Potential Customers",5,1,4,514,"Potential Customers"
"13198",135,1,17.7,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"13199",153,2,91.32,1,5,5,155,"Potential Customers",1,4,5,145,"Potential Customers"
"13203",6,2,35.2,5,3,2,532,"Loyal Customers",5,4,4,544,"Champions"
"13208",92,1,11.8,3,1,2,312,"Potential Customers",3,1,2,312,"Potential Customers"
"13209",14,3,91.08,5,4,4,544,"Champions",5,5,5,555,"Champions"
"13213",14,2,35.7,5,3,2,532,"Loyal Customers",5,4,4,544,"Champions"
"13221",126,1,5.9,2,1,1,211,"Lost Customers",2,1,1,211,"Lost Customers"
"13227",87,1,10.5,3,1,1,311,"Potential Customers",3,1,2,312,"Potential Customers"
"13230",24,6,34.72,5,5,1,551,"Loyal Customers",5,5,4,554,"Champions"
"13232",82,2,15.8,3,4,1,341,"Loyal Customers",3,4,2,342,"Loyal Customers"
"13235",98,1,12.48,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"13240",143,1,24.15,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13243",89,1,18.85,3,1,3,313,"Potential Customers",3,1,3,313,"Potential Customers"
"13246",62,2,25.5,3,4,1,341,"Loyal Customers",3,4,3,343,"Loyal Customers"
"13253",42,1,4.56,4,1,1,411,"Potential Customers",4,1,1,411,"Potential Customers"
"13263",13,13,105.7,5,5,3,553,"Loyal Customers",5,5,5,555,"Champions"
"13265",159,1,17,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"13266",89,1,37.4,3,1,4,314,"Potential Customers",3,1,4,314,"Potential Customers"
"13267",44,2,62.6,4,3,4,434,"Loyal Customers",4,4,5,445,"Champions"
"13268",105,3,38.61,2,5,3,253,"Potential Customers",2,5,4,254,"Potential Customers"
"13269",136,1,38.58,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"13282",106,1,17.7,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"13284",217,1,16.5,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13285",47,3,74.5,4,4,4,444,"Champions",4,5,5,455,"Champions"
"13291",41,1,30,4,1,4,414,"Potential Customers",4,1,3,413,"Potential Customers"
"13294",135,1,19.8,2,1,3,213,"Lost Customers",2,1,3,213,"Lost Customers"
"13301",179,1,11.8,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13305",31,1,15,4,1,2,412,"Potential Customers",4,1,2,412,"Potential Customers"
"13308",89,1,17.7,3,1,3,313,"Potential Customers",3,1,3,313,"Potential Customers"
"13310",92,1,10.2,3,1,1,311,"Potential Customers",3,1,2,312,"Potential Customers"
"13313",27,1,20.8,4,1,4,414,"Potential Customers",4,1,3,413,"Potential Customers"
"13316",17,1,1.25,5,1,1,511,"Potential Customers",5,1,1,511,"Potential Customers"
"13317",125,1,13.2,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"13319",55,4,105.1,4,5,4,454,"Champions",4,5,5,455,"Champions"
"13324",89,2,82.2,3,4,5,345,"Loyal Customers",3,4,5,345,"Loyal Customers"
"13327",145,1,11.7,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"13328",203,1,30,1,1,4,114,"Lost Customers",1,1,3,113,"Lost Customers"
"13330",71,1,53.8,3,1,5,315,"Potential Customers",3,1,4,314,"Potential Customers"
"13334",76,2,97.34,3,4,5,345,"Loyal Customers",3,4,5,345,"Loyal Customers"
"13340",20,2,406.5,5,3,5,535,"Loyal Customers",5,4,5,545,"Champions"
"13343",63,1,70.8,3,1,5,315,"Potential Customers",3,1,5,315,"Potential Customers"
"13344",163,1,47.4,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"13358",154,1,14.85,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13362",174,1,34,1,1,5,115,"Lost Customers",1,1,4,114,"Lost Customers"
"13368",142,1,15,2,1,2,212,"Lost Customers",2,1,2,212,"Lost Customers"
"13373",44,2,174.7,4,3,5,435,"Loyal Customers",4,4,5,445,"Champions"
"13376",120,1,50,2,1,5,215,"Lost Customers",2,1,4,214,"Lost Customers"
"13381",185,1,17.4,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"13382",166,1,13.52,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13384",64,1,55.95,3,1,5,315,"Potential Customers",3,1,4,314,"Potential Customers"
"13385",216,1,17,1,1,3,113,"Lost Customers",1,1,2,112,"Lost Customers"
"13388",17,1,65.4,5,1,5,515,"Potential Customers",5,1,5,515,"Potential Customers"
"13394",1,2,30.36,5,3,2,532,"Loyal Customers",5,4,3,543,"Loyal Customers"
"13402",13,1,23.4,5,1,3,513,"Potential Customers",5,1,3,513,"Potential Customers"
"13405",90,1,25.2,3,1,3,313,"Potential Customers",3,1,3,313,"Potential Customers"
"13408",24,6,275.61,5,5,4,554,"Champions",5,5,5,555,"Champions"
"13410",149,1,23,1,1,3,113,"Lost Customers",1,1,3,113,"Lost Customers"
"13418",50,3,22.62,4,4,2,442,"Loyal Customers",4,5,3,453,"Loyal Customers"
"13420",35,1,15,4,1,2,412,"Potential Customers",4,1,2,412,"Potential Customers"
"13425",54,1,16.5,4,1,3,413,"Potential Customers",4,1,2,412,"Potential Customers"
"13426",68,2,101.4,3,4,5,345,"Loyal Customers",3,4,5,345,"Loyal Customers"
"13435",12,1,30,5,1,4,514,"Potential Customers",5,1,3,513,"Potential Customers"
"13437",55,2,45.5,4,3,3,433,"Loyal Customers",4,4,4,444,"Champions"
"13439",141,1,22.35,2,1,4,214,"Lost Customers",2,1,3,213,"Lost Customers"
"13451",12,3,42.72,5,4,3,543,"Loyal Customers",5,5,4,554,"Champions"
"13453",51,1,19.9,4,1,3,413,"Potential Customers",4,1,3,413,"Potential Customers"
"13458",21,4,55.74,5,5,1,551,"Loyal Customers",5,5,4,554,"Champions"
"13461",49,1,59.5,4,1,5,415,"Potential Customers",4,1,4,414,"Potential Customers"
"13468",87,5,140.8,3,5,5,355,"Loyal Customers",3,5,5,355,"Loyal Customers"
"13474",122,1,5.55,2,1,1,211,"Lost Customers",2,1,1,211,"Lost Customers"
"13475",103,2,22.7,2,5,2,252,"Potential Customers",2,4,3,243,"Potential Customers"
"13476",64,1,15,3,1,2,312,"Potential Customers",3,1,2,312,"Potential Customers"
"13477",178,1,13.92,1,1,2,112,"Lost Customers",1,1,2,112,"Lost Customers"
"13481",142,1,10.2,2,1,1,211,"Lost Customers",2,1,2,212,"Lost Customers"
"13484",127,1,15.9,2,1,3,213,"Lost Customers",2,1,2,212,"Lost Customers"
"13488",30,6,113.05,4,5,4,454,"Champions",4,5,5,455,"Champions"
"13492",47,1,19.8,4,1,3,413,"Potential Customers",4,1,3,413,"Potential Customers"
"13505",52,3,110.4,4,4,5,445,"Champions",4,5,5,455,"Champions"
